Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-39mm/L3.676.4.99.6.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/BC3-Advanced-Day-Date-42mm/01_735_7641_4164-07_5_22_55.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/BC3-Advanced-Day-Date-42mm/01_735_7641_4164-07_4_22_05.html
,,Fixed,,,40mm ,Stainless Steel,Round,11.20mm,,,,New/Unworn,Plexiglass,Silver,,,,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4061-07_5_20_53.html
,,Fixed,,,40mm ,Stainless Steel & Plated Rose Gold,Round,11.20mm,,,,New/Unworn,Plexiglass,Silver,,,,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4361-07_5_20_52.html
,,Fixed,,,40mm ,Stainless Steel,Round,11.20mm,,,,New/Unworn,Plexiglass,Black,,,,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-40mm/01_754_7696_4064-07_5_20_51.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4165-07-5-22-26.html
,,,,,33mm ,PVD,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.2.11.2.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/9577-stc-00650.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.6mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Tradition/9578-stc-00300.html
,,Fixed,,,42mm ,Stainless Steel & Plated Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4331-07_5_20_12.html
,,Fixed,,,42mm ,Stainless Steel & Plated Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4334-07_5_20_11.html
,,,,,36mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.2.html
,,Fixed,,,37mm ,Stainless Steel & Plated Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4331-07_5_18_10.html
,,Fixed,,,37mm ,Stainless Steel & Plated Rose Gold,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4334-07_5_18_11.html
,,Fixed,,,36mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L3-379-4-76-6.html
,,Fixed,,,36mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794966.html
,,Fixed,,,36mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794566.html
,,Fixed,,,41mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-41mm/L3.677.4.76.6.html
,,Fixed,,,41mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-41mm/L3.677.4.58.6.html
,,Fixed,,,42mm ,DLC Coated Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4733-07-5-22-24B.html
,,Fixed,,,42mm ,DLC Coated Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-01-735-7641-4733-07-4-22-05B.html
,,Fixed,,,38mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Grey,,,,No,30m,https://www.prestigetime.com/item/Maurice-Lacroix/Les-Classiques-Quartz-Day-Date/lc1227-ss002-330.html
,,Fixed,,,39.5mm ,Stainless Steel,Round,10mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/Raymond-Weil-Maestro-2238-stc-00659.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-42mm-01-735-7641-4161-07-4-22-05.html
,,Fixed,,,37mm ,Gold Plated,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4831-07_6_18_10.html
,,Fixed,,,39.5mm ,Stainless Steel,Round,9.15mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Maestro/2837-stc-05659.html
